"id","code","name","note","user_type_id:id","reconcile","chart_template_id:id"
"account_template_poppi_132_01_07","132.01.07","FERRAMENTAS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_08","132.01.08","IMOVEIS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_09","132.01.09","VEICULOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_10","132.01.10","INSTALACOES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_11","132.01.11","MAQUINAS E MOTORES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_12","132.01.12","MODELOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_13","132.01.13","MODELOS IMPORTADOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_14","132.01.14","COTAS CONSORCIO DE VEICULOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_15","132.01.15","TERRENOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_16","132.01.16","COMPUTADORES E PERIFERICOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_02_01","132.02.01","DEPRECIACOES COMPUTADORES E PERIFERICOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_02_02","132.02.02","DEPRECIACOES FERRAMENTAS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_02_03","132.02.03","DEPRECIACOES INSTALACOES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_02_04","132.02.04","DEPRECIACOES MODELOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_02_05","132.02.05","DEPRECIACOES MOVEIS UTENSILIOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_02_06","132.02.06","DEPRECIACOES VEICULOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_02_07","132.02.07","DEPRECIACOES BIBLIOTECA","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_02_08","132.02.08","DEPRECIACOES MAQS E MOTORES","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_02_09","132.02.09","DEPRECIACOES MODELOS IMPORT.","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_02_10","132.02.10","DEPRECIACOES IMOVEIS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_01","132.03.01","BIBLIOTECA","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_02","132.03.02","CONSTRUCAO ANDAMENTO","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_03","132.03.03","CONSTRUCAO ANDAMENTO BARRACAO","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_04","132.03.04","CONSTRUCAO ANDAMENTO GALPAO","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_05","132.03.05","CONSTRUCAO ANDAMENTO VESTIARIO","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_06","132.03.06","MOVEIS E UTENSILIOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_07","132.03.07","FERRAMENTAS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_08","132.03.08","IMOVEIS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_03_09","132.03.09","VEICULOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
